Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDY24,1052.0,OUT017
FDH19,2896.0,OUT049
FDJ46,2780.0,OUT013
FDN45,1612.0,OUT010
FDY08,2412.0,OUT035
FDZ37,1604.0,OUT035
NCT30,704.0,OUT045
DRY23,460.0,OUT018
NCZ30,1652.0,OUT018
FDC44,1524.0,OUT018
FDB45,1848.0,OUT035
FDY04,2668.0,OUT013
FDM27,2552.0,OUT046
FDZ43,3968.0,OUT017
FDT39,556.0,OUT019
NCC06,116.0,OUT019
FDL15,3896.0,OUT027
FDL57,4220.0,OUT017
FDU08,1592.0,OUT046
FDK40,4280.0,OUT017
FDQ12,1700.0,OUT010
FDS48,2528.0,OUT017
FDP09,3304.0,OUT045
FDW21,1748.0,OUT049
FDY25,3028.0,OUT035
DRE13,1496.0,OUT017
FDV43,-1188.0,OUT019
FDD22,1728.0,OUT045
FDM46,-436.0,OUT019
NCO30,1004.0,OUT010
FDM25,2800.0,OUT046
NCN41,2052.0,OUT049
FDU24,1472.0,OUT045
FDZ50,2952.0,OUT046
FDP45,4044.0,OUT013
NCM54,1936.0,OUT045
FDW10,876.0,OUT019
FDP20,2164.0,OUT017
FDK32,2456.0,OUT046
FDN52,1556.0,OUT049
FDM58,1768.0,OUT045
FDZ46,3224.0,OUT027
NCA18,1580.0,OUT018
FDD35,1952.0,OUT046
NCK31,960.0,OUT035
FDI40,3096.0,OUT027
FDT50,-292.0,OUT019
NCT06,2600.0,OUT046
FDT31,3144.0,OUT035
FDT45,988.0,OUT049
FDT13,2912.0,OUT045
FDO50,1408.0,OUT045
NCU18,300.0,OUT010
NCR54,3164.0,OUT049
NCO18,2532.0,OUT018
FDU09,912.0,OUT045
FDT13,2700.0,OUT018
FDE09,1808.0,OUT046
NCK53,-300.0,OUT019
FDG45,3468.0,OUT049
DRH15,892.0,OUT035
FDO21,1692.0,OUT019
FDD14,4352.0,OUT027
FDC09,1704.0,OUT046
FDH45,2216.0,OUT027
FDV32,1056.0,OUT046
FDG12,2112.0,OUT035
FDS32,2316.0,OUT013
NCL55,3660.0,OUT018
DRE01,3972.0,OUT035
DRE15,1356.0,OUT049
NCL42,3820.0,OUT045
FDP31,1116.0,OUT013
FDN33,1268.0,OUT018
FDZ59,2656.0,OUT046
FDE45,908.0,OUT010
FDJ07,1932.0,OUT013
FDQ45,2700.0,OUT018
FDM33,4904.0,OUT027
FDO15,-628.0,OUT010
FDM46,1500.0,OUT013
FDR03,3248.0,OUT045
FDY49,2420.0,OUT018
FDQ60,1876.0,OUT045
FDW10,2900.0,OUT049
FDO51,896.0,OUT049
FDJ40,1516.0,OUT018
FDS20,2612.0,OUT018
FDU45,1884.0,OUT013
FDV02,2844.0,OUT035
FDN09,3832.0,OUT046
NCM55,4384.0,OUT027
FDN23,2068.0,OUT018
FDY31,388.0,OUT010
FDW03,-164.0,OUT010
FDD14,2896.0,OUT046
FDV23,2116.0,OUT017
DRI03,2720.0,OUT045
FDN13,1740.0,OUT035
FDF45,2488.0,OUT027
FDU46,1620.0,OUT035
FDB57,3672.0,OUT049
FDV12,1756.0,OUT049
FDQ58,2444.0,OUT013
NCA18,1948.0,OUT017
FDH52,1156.0,OUT049
FDM24,2148.0,OUT018
NCP43,4304.0,OUT027
NCO18,884.0,OUT019
FDM32,1600.0,OUT017
NCL07,744.0,OUT017
FDK03,4060.0,OUT013
FDP59,1808.0,OUT017
FDQ24,4060.0,OUT049
FDQ16,1492.0,OUT018
FDU44,2620.0,OUT013
FDH28,-1236.0,OUT010
FDV28,-1268.0,OUT019
FDM22,880.0,OUT045
FDR56,3144.0,OUT046
FDV39,3228.0,OUT049
FDU37,-564.0,OUT019
FDQ11,2164.0,OUT010
FDX02,3472.0,OUT045
NCS42,1196.0,OUT018
FDY57,3016.0,OUT027
FDB21,3904.0,OUT049
FDE28,3776.0,OUT017
FDQ55,1984.0,OUT017
FDA48,3612.0,OUT049
FDZ19,2696.0,OUT045
NCC43,3888.0,OUT045
NCV18,1296.0,OUT046
NCA42,2228.0,OUT018
FDY45,4048.0,OUT046
NCC30,2760.0,OUT045
FDM57,1452.0,OUT013
FDL09,756.0,OUT010
FDB09,3448.0,OUT027
FDT44,2052.0,OUT035
NCT06,4040.0,OUT027
FDX26,3008.0,OUT049
FDK32,2508.0,OUT013
DRA12,2272.0,OUT046
FDO46,1108.0,OUT010
FDE52,1484.0,OUT013
NCH42,3552.0,OUT045
FDV08,868.0,OUT035
FDB47,3052.0,OUT018
FDC28,-148.0,OUT010
FDD22,1816.0,OUT046
FDS07,3288.0,OUT027
DRI13,3368.0,OUT045
FDG32,3228.0,OUT018
FDU14,4068.0,OUT017
FDD28,-932.0,OUT019
NCP41,1856.0,OUT017
FDS08,2876.0,OUT049
FDX47,2488.0,OUT045
FDC53,-276.0,OUT019
FDQ19,4012.0,OUT035
FDL14,2448.0,OUT045
FDM33,1580.0,OUT019
FDA51,1784.0,OUT045
FDZ27,540.0,OUT018
FDT04,688.0,OUT046
DRC13,2140.0,OUT049
FDR16,4872.0,OUT027
FDQ03,5224.0,OUT027
FDE38,2820.0,OUT035
DRH23,2368.0,OUT027
FDT11,1116.0,OUT019
FDD09,3012.0,OUT035
FDR40,1320.0,OUT045
FDX07,3076.0,OUT017
FDR07,1720.0,OUT035
FDA51,1968.0,OUT017
FDT59,1740.0,OUT019
FDF20,3208.0,OUT017
FDR13,1832.0,OUT045
FDY26,3484.0,OUT049
FDW04,2232.0,OUT017
FDK52,3696.0,OUT017
FDN60,2596.0,OUT049
FDM09,844.0,OUT019
FDP46,1524.0,OUT049
FDB50,-644.0,OUT019
NCQ29,4156.0,OUT049
FDP16,5320.0,OUT027
FDX33,2316.0,OUT018
FDP07,1180.0,OUT010
FDN22,4000.0,OUT046
FDF39,4284.0,OUT049
FDS21,1168.0,OUT017
NCM42,1732.0,OUT013
FDK50,700.0,OUT019
DRF13,3784.0,OUT027
FDH35,2332.0,OUT018
FDP60,1332.0,OUT018
DRJ49,3520.0,OUT027
NCT42,436.0,OUT019
FDE38,2764.0,OUT049
FDI04,3292.0,OUT049
NCH54,2424.0,OUT045
FDT56,1112.0,OUT049
DRD15,3388.0,OUT018
FDV58,3100.0,OUT013
FDP21,3116.0,OUT049
FDH05,3740.0,OUT013
FDR10,4024.0,OUT027
NCP06,2304.0,OUT045
FDF33,1820.0,OUT049
DRK37,3012.0,OUT013
DRH49,1308.0,OUT045
FDT58,2684.0,OUT013
FDD41,1436.0,OUT018
FDP40,1540.0,OUT018
FDM51,3128.0,OUT027
FDO45,-476.0,OUT010
FDW33,-220.0,OUT010
FDY24,864.0,OUT045
FDB10,1820.0,OUT010
FDM40,2396.0,OUT035
NCI06,2960.0,OUT017
FDW12,428.0,OUT019
FDX48,3960.0,OUT027
NCW05,3136.0,OUT027
FDX27,1688.0,OUT017
DRM37,3064.0,OUT045
FDA38,3752.0,OUT045
FDR36,712.0,OUT046
FDZ45,3144.0,OUT046
FDG05,2672.0,OUT017
FDK28,4092.0,OUT013
FDV47,1332.0,OUT045
FDN21,2492.0,OUT045
FDP20,3488.0,OUT027
FDI35,2824.0,OUT045
DRY23,788.0,OUT013
FDA56,2088.0,OUT017
FDB09,1996.0,OUT013
NCO26,3296.0,OUT027
FDQ49,2260.0,OUT018
FDI52,3400.0,OUT027
FDZ44,3336.0,OUT027
FDZ09,2332.0,OUT018
FDY03,1964.0,OUT049
NCG42,2172.0,OUT017
DRI13,4896.0,OUT027
FDQ32,2092.0,OUT013
FDW16,1676.0,OUT035
FDU27,816.0,OUT046
FDR28,716.0,OUT010
FDQ49,644.0,OUT010
FDS37,1864.0,OUT046
FDW26,3244.0,OUT018
FDX12,3580.0,OUT018
NCP06,2404.0,OUT013
FDW45,396.0,OUT010
NCN30,1612.0,OUT049
FDN24,976.0,OUT049
NCL41,1992.0,OUT027
FDR02,-132.0,OUT019
FDD09,956.0,OUT010
FDS33,-484.0,OUT010
FDU22,1848.0,OUT045
FDI53,2636.0,OUT013
DRH01,2884.0,OUT049
FDX32,2348.0,OUT013
NCP30,380.0,OUT018
FDB60,3048.0,OUT045
FDB14,1652.0,OUT049
NCP02,1088.0,OUT035
FDJ10,2384.0,OUT017
FDG34,1824.0,OUT046
NCB18,1520.0,OUT017
FDM16,1360.0,OUT049
FDW25,1084.0,OUT018
FDB35,-404.0,OUT010
DRN11,2276.0,OUT013
FDF41,1996.0,OUT019
FDH16,1368.0,OUT045
NCQ50,3068.0,OUT018
DRH23,644.0,OUT018
DRJ37,2436.0,OUT013
DRJ24,4360.0,OUT027
FDY16,3104.0,OUT035
FDQ27,1672.0,OUT045
FDZ33,2296.0,OUT045
FDF29,2088.0,OUT045
FDA08,2740.0,OUT049
FDG31,1072.0,OUT046
FDE34,1004.0,OUT019
NCR30,2624.0,OUT027
FDV33,4272.0,OUT035
DRZ24,1636.0,OUT018
NCL54,2880.0,OUT035
FDR12,2896.0,OUT049
NCC54,3792.0,OUT046
DRN59,788.0,OUT013
FDX50,-132.0,OUT019
FDV31,4264.0,OUT027
NCA29,4168.0,OUT027
FDW60,2956.0,OUT049
FDX08,3016.0,OUT017
DRD49,3732.0,OUT013
FDD33,3648.0,OUT046
FDW35,748.0,OUT013
FDJ36,1804.0,OUT017
FDV51,2804.0,OUT035
FDW36,1712.0,OUT046
FDH35,2632.0,OUT046
NCS30,3504.0,OUT027
FDN49,800.0,OUT017
FDL08,3604.0,OUT018
FDI09,3852.0,OUT013
FDP19,1772.0,OUT018
FDU21,-1316.0,OUT010
NCP41,1656.0,OUT045
FDY10,1836.0,OUT013
FDP12,388.0,OUT018
NCN26,1944.0,OUT049
FDK44,2796.0,OUT013
FDC28,1852.0,OUT049
FDJ41,5600.0,OUT027
NCT29,2108.0,OUT035
NCH42,1684.0,OUT019
FDU60,2428.0,OUT018
FDS02,3028.0,OUT045
FDC51,2024.0,OUT046
FDU03,2972.0,OUT013
FDX39,3336.0,OUT045
NCY05,-1316.0,OUT010
NCL06,5520.0,OUT027
FDD32,1504.0,OUT035
NCN41,1884.0,OUT045
NCX53,2348.0,OUT049
FDU57,524.0,OUT019
FDQ23,1680.0,OUT046
FDQ52,3864.0,OUT045
FDC14,668.0,OUT045
FDY09,2968.0,OUT035
FDQ28,2472.0,OUT045
FDV25,3496.0,OUT046
FDJ07,2020.0,OUT035
DRB25,1800.0,OUT049
FDK52,1660.0,OUT019
FDY52,2488.0,OUT027
FDB28,3120.0,OUT046
FDT36,764.0,OUT035
FDV25,3624.0,OUT017
NCN07,3512.0,OUT027
FDC57,3224.0,OUT017
FDQ03,3500.0,OUT018
FDU23,2776.0,OUT017
NCX41,3504.0,OUT035
NCD06,908.0,OUT035
FDW08,1640.0,OUT045
NCU29,2408.0,OUT017
NCE06,2548.0,OUT013
FDV52,-4.0,OUT010
FDB02,2964.0,OUT017
NCR18,648.0,OUT045
FDK16,1620.0,OUT049
NCQ29,2116.0,OUT010
FDZ01,-180.0,OUT019
FDW27,2676.0,OUT035
FDD17,3476.0,OUT018
FDW39,2876.0,OUT013
DRH59,1116.0,OUT045
FDS52,1676.0,OUT013
FDU40,4552.0,OUT027
NCF54,2772.0,OUT013
FDH46,1640.0,OUT045
NCP14,1736.0,OUT049
FDH50,3072.0,OUT049
DRF15,524.0,OUT010
FDV27,2904.0,OUT027
NCJ06,2012.0,OUT049
FDN02,2972.0,OUT018
FDQ51,924.0,OUT049
FDQ07,3672.0,OUT017
FDS45,1840.0,OUT049
NCJ06,1864.0,OUT045
FDD36,2040.0,OUT035
FDY25,2840.0,OUT045
FDU52,2464.0,OUT046
DRK47,3688.0,OUT017
NCL30,2148.0,OUT017
FDN22,4164.0,OUT035
NCF30,3432.0,OUT027
FDK03,4236.0,OUT035
FDT45,1028.0,OUT017
NCC54,5200.0,OUT027
FDP08,2852.0,OUT018
FDU44,2640.0,OUT046
DRG39,1028.0,OUT035
FDU32,2060.0,OUT049
FDY27,2940.0,OUT049
NCP54,1972.0,OUT013
NCZ41,2108.0,OUT049
DRL49,2308.0,OUT013
FDI05,996.0,OUT018
FDY56,3564.0,OUT045
DRC13,2068.0,OUT013
NCV29,2944.0,OUT017
FDR24,1588.0,OUT049
FDZ34,2748.0,OUT018
FDP37,2164.0,OUT035
FDX08,4328.0,OUT027
FDS57,2192.0,OUT045
NCG18,1736.0,OUT049
FDK25,2436.0,OUT018
FDH53,1472.0,OUT049
DRI59,3244.0,OUT018
FDA52,2848.0,OUT046
FDT20,-1268.0,OUT010
FDE36,732.0,OUT019
FDI24,2884.0,OUT017
FDB28,2868.0,OUT018
FDV11,2960.0,OUT017
FDP01,2504.0,OUT046
FDD34,4024.0,OUT027
FDJ50,2312.0,OUT027
FDZ44,1932.0,OUT013
DRO59,1380.0,OUT035
DRB48,648.0,OUT045
FDR21,2508.0,OUT018
NCE42,1780.0,OUT010
FDO23,1496.0,OUT046
NCE30,3052.0,OUT018
FDQ22,804.0,OUT035
FDY01,1816.0,OUT045
FDS08,2932.0,OUT017
FDG28,3660.0,OUT018
FDQ51,580.0,OUT018
FDB05,4040.0,OUT017
FDO56,2020.0,OUT049
FDE02,1196.0,OUT018
FDN45,3636.0,OUT017
FDS09,876.0,OUT013
NCA54,2580.0,OUT018
FDP09,1452.0,OUT010
FDC53,1544.0,OUT045
NCM55,3048.0,OUT017
FDL09,2444.0,OUT018
FDA11,-388.0,OUT019
FDA50,1464.0,OUT045
FDC23,2960.0,OUT017
FDE22,2636.0,OUT049
FDD23,3008.0,OUT046
NCA29,2828.0,OUT049
FDK38,2344.0,OUT046
DRC13,1984.0,OUT046
NCP43,2932.0,OUT049
FDX28,1696.0,OUT049
FDF08,1604.0,OUT049
FDZ33,2368.0,OUT046
FDD10,2988.0,OUT049
FDO58,2704.0,OUT017
FDI50,3796.0,OUT017
FDO58,2580.0,OUT045
FDX08,2908.0,OUT013
NCK17,-1252.0,OUT010
FDF39,4340.0,OUT035
FDU45,-76.0,OUT010
NCJ18,1564.0,OUT018
DRC27,1972.0,OUT019
DRC25,1524.0,OUT035
FDU59,2700.0,OUT035
FDU28,3200.0,OUT035
NCP30,680.0,OUT046
FDB39,636.0,OUT018
FDE41,1468.0,OUT013
DRH11,-1004.0,OUT010
FDA58,3656.0,OUT045
FDU50,1888.0,OUT046
FDM34,2108.0,OUT013
FDM44,3096.0,OUT027
FDR39,2856.0,OUT045
FDM25,2768.0,OUT045
FDQ49,2644.0,OUT049
DRH25,596.0,OUT018
FDM09,4200.0,OUT027
FDL44,684.0,OUT019
NCR42,260.0,OUT018
DRL59,872.0,OUT046
FDX43,2700.0,OUT013
DRK47,1644.0,OUT010
FDU48,1828.0,OUT018
FDY12,808.0,OUT045
NCN43,1668.0,OUT018
NCM55,2620.0,OUT018
FDQ21,3432.0,OUT027
FDX13,4116.0,OUT035
NCK30,5424.0,OUT027
FDG20,2924.0,OUT049
DRG27,776.0,OUT017
FDY14,3884.0,OUT018
FDP59,1860.0,OUT035
FDU60,2848.0,OUT017
NCC18,772.0,OUT019
DRJ39,3560.0,OUT017
FDS07,1916.0,OUT049
FDM08,5008.0,OUT027
FDP51,1908.0,OUT045
FDU16,1532.0,OUT035
FDH12,1740.0,OUT013
DRE48,1180.0,OUT010
NCL42,5280.0,OUT027
FDR21,2760.0,OUT045
NCW29,2236.0,OUT035
FDO11,4028.0,OUT013
NCM31,2324.0,OUT049
FDV35,556.0,OUT019
FDF58,1136.0,OUT017
NCE43,2756.0,OUT049
FDA02,2500.0,OUT035
DRL37,-1180.0,OUT010
FDR24,1244.0,OUT018
FDW59,1452.0,OUT049
FDS22,908.0,OUT049
FDW24,944.0,OUT017
FDU24,1708.0,OUT035
FDA21,4408.0,OUT027
FDH58,3320.0,OUT027
FDW36,1396.0,OUT018
FDI45,4200.0,OUT027
FDU01,2724.0,OUT018
FDF35,3192.0,OUT027
FDU43,1900.0,OUT019
FDE24,380.0,OUT019
FDK50,2696.0,OUT049
FDG31,980.0,OUT045
FDC60,1432.0,OUT045
FDL36,1484.0,OUT013
FDP21,3084.0,OUT013
FDW16,1456.0,OUT045
FDX02,3668.0,OUT017
FDQ58,3904.0,OUT027
FDT51,1832.0,OUT046
FDD59,1428.0,OUT049
NCM42,1452.0,OUT018
FDA57,412.0,OUT018
FDZ48,1952.0,OUT035
FDE46,2376.0,OUT045
NCZ30,20.0,OUT019
FDB56,3136.0,OUT017
FDA25,3176.0,OUT027
FDD20,2044.0,OUT013
FDL25,1548.0,OUT013
NCO18,2896.0,OUT049
FDJ45,712.0,OUT017
FDR12,2908.0,OUT035
NCF19,-1148.0,OUT010
FDK25,2672.0,OUT046
NCR17,1808.0,OUT046
FDC52,2472.0,OUT046
NCA54,2972.0,OUT017
FDR45,1860.0,OUT010
NCM19,1900.0,OUT049
FDF39,5656.0,OUT027
FDX23,1660.0,OUT049
FDD58,3048.0,OUT027
FDX28,1628.0,OUT013
NCD31,2596.0,OUT013
FDU57,2164.0,OUT018
FDI27,808.0,OUT046
NCM42,1712.0,OUT046
FDD32,2816.0,OUT027
FDI34,3676.0,OUT013
NCM29,2164.0,OUT049
